elapsed_s,iters,behaviors,fingerprints,since_new_behavior,corpus_size,solver_invocations,solver_seeds
0.396,11,6,1,6,1,0,0
0.648,124,12,4,71,4,0,0
0.9,229,12,4,166,4,0,0
1.151,341,12,4,269,4,0,0
1.402,463,12,4,391,4,0,0
1.653,584,12,4,511,4,0,0
1.905,708,12,4,630,4,0,0
2.156,823,12,4,745,4,0,0
2.407,942,12,4,863,4,0,0
2.658,1074,12,4,994,4,0,0
2.909,1199,12,4,1114,4,0,0
3.159,1325,12,4,1239,4,0,0
3.411,1432,12,4,1346,4,0,0
3.662,1533,12,4,1447,4,0,0
3.913,1652,12,4,1566,4,0,0
4.165,1781,12,4,1695,4,0,0
4.416,1899,12,4,1813,4,0,0
4.667,2010,12,4,1923,4,0,0
4.918,2138,12,4,2051,4,0,0
5.169,2269,12,4,2182,4,0,0
5.42,2392,12,4,2305,4,0,0
5.67,2523,12,4,2436,4,0,0
5.921,2647,12,4,2559,4,0,0
6.172,2781,12,4,2693,4,0,0
6.423,2915,12,4,2827,4,0,0
6.675,3038,12,4,2950,4,0,0
6.925,3173,12,4,3085,4,0,0
7.176,3300,12,4,3212,4,0,0
7.427,3422,12,4,3333,4,0,0
7.677,3542,12,4,3453,4,0,0
7.928,3671,12,4,3582,4,0,0
8.179,3792,12,4,3703,4,0,0
8.429,3919,12,4,3830,4,0,0
8.681,4047,12,4,3958,4,0,0
8.931,4175,12,4,4085,4,0,0
9.181,4305,12,4,4215,4,0,0
9.431,4429,12,4,4339,4,0,0
9.682,4550,12,4,4460,4,0,0
9.933,4662,12,4,4572,4,0,0
10.184,4787,12,4,4692,4,0,0
10.434,4910,12,4,4814,4,0,0
10.685,5026,12,4,4930,4,0,0
10.936,5146,12,4,5050,4,0,0
11.187,5272,12,4,5171,4,0,0
11.438,5405,12,4,5304,4,0,0
11.689,5534,12,4,5433,4,0,0
11.94,5666,12,4,5564,4,0,0
12.192,5798,12,4,5696,4,0,0
12.443,5931,12,4,5829,4,0,0
12.693,6064,12,4,5962,4,0,0
12.944,6196,12,4,6094,4,0,0
13.194,6321,12,4,6219,4,0,0
13.445,6451,12,4,6348,4,0,0
13.696,6581,12,4,6478,4,0,0
13.947,6709,12,4,6606,4,0,0
14.199,6838,12,4,6734,4,0,0
14.449,6967,12,4,6861,4,0,0
14.7,7098,12,4,6991,4,0,0
