elapsed_s,iters,behaviors,fingerprints,since_new_behavior,corpus_size,solver_invocations,solver_seeds
0.251,8,6,1,5,1,0,0
0.503,124,12,4,85,4,0,0
0.754,251,12,4,200,4,0,0
1.005,378,12,4,323,4,0,0
1.256,508,12,4,449,4,0,0
9.365,561,12,4,500,4,1,18
9.615,691,23,11,97,11,1,18
9.866,814,23,11,219,11,1,18
10.117,941,23,11,346,11,1,18
10.367,1067,23,11,471,11,1,18
10.618,1199,23,11,603,11,1,18
10.869,1329,23,11,732,11,1,18
11.119,1462,23,11,864,11,1,18
11.37,1595,23,11,996,11,1,18
11.62,1728,23,11,1129,11,1,18
11.871,1857,23,11,1258,11,1,18
12.121,1989,23,11,1390,11,1,18
12.373,2115,23,11,1516,11,1,18
12.623,2239,23,11,1640,11,1,18
12.875,2368,23,11,1768,11,1,18
13.127,2496,23,11,1896,11,1,18
13.378,2620,23,11,2020,11,1,18
13.629,2744,23,11,2144,11,1,18
13.88,2874,23,11,2274,11,1,18
14.132,2993,23,11,2393,11,1,18
14.383,3123,23,11,2522,11,1,18
14.635,3255,23,11,2654,11,1,18
14.885,3382,23,11,2781,11,1,18
15.137,3517,23,11,2916,11,1,18
15.388,3649,23,11,3048,11,1,18
15.639,3784,23,11,3183,11,1,18
15.889,3909,23,11,3307,11,1,18
16.14,4034,23,11,3432,11,1,18
24.366,4151,23,11,3548,11,2,30
24.617,4277,23,11,3668,11,2,30
24.868,4399,23,11,3790,11,2,30
25.12,4516,23,11,3907,11,2,30
25.37,4633,23,11,4023,11,2,30
25.621,4760,23,11,4150,11,2,30
25.872,4886,23,11,4276,11,2,30
26.123,5014,23,11,4404,11,2,30
26.374,5131,23,11,4521,11,2,30
26.624,5260,23,11,4650,11,2,30
26.874,5385,23,11,4774,11,2,30
27.125,5510,23,11,4899,11,2,30
27.376,5630,23,11,5019,11,2,30
27.628,5755,23,11,5144,11,2,30
27.881,5881,23,11,5270,11,2,30
28.131,5999,23,11,5388,11,2,30
28.383,6120,23,11,5508,11,2,30
28.634,6246,23,11,5634,11,2,30
28.885,6380,23,11,5768,11,2,30
29.136,6487,23,11,5875,11,2,30
29.386,6597,23,11,5985,11,2,30
29.636,6723,23,11,6111,11,2,30
29.888,6850,23,11,6237,11,2,30
30.14,6980,23,11,6367,11,2,30
30.39,7102,23,11,6489,11,2,30
30.641,7233,23,11,6620,11,2,30
30.894,7360,23,11,6747,11,2,30
31.144,7488,23,11,6875,11,2,30
39.369,7593,23,11,6978,11,3,42
39.619,7718,23,11,7102,11,3,42
39.869,7845,23,11,7229,11,3,42
40.12,7975,23,11,7359,11,3,42
40.372,8105,23,11,7489,11,3,42
40.624,8227,23,11,7611,11,3,42
40.875,8350,23,11,7733,11,3,42
41.127,8460,23,11,7843,11,3,42
41.377,8568,23,11,7951,11,3,42
41.627,8675,23,11,8058,11,3,42
41.878,8782,23,11,8165,11,3,42
42.129,8895,23,11,8278,11,3,42
42.38,9023,23,11,8405,11,3,42
42.631,9152,23,11,8534,11,3,42
42.882,9281,23,11,8663,11,3,42
43.133,9406,23,11,8788,11,3,42
43.384,9531,23,11,8913,11,3,42
43.634,9657,23,11,9039,11,3,42
43.884,9786,23,11,9167,11,3,42
44.136,9915,23,11,9296,11,3,42
44.387,10041,23,11,9422,11,3,42
44.639,10160,23,11,9541,11,3,42
44.89,10285,23,11,9666,11,3,42
45.141,10407,23,11,9788,11,3,42
45.392,10528,23,11,9908,11,3,42
45.643,10644,23,11,10024,11,3,42
45.894,10761,23,11,10141,11,3,42
46.146,10875,23,11,10255,11,3,42
54.371,10958,23,11,10337,11,4,53
54.623,11092,23,11,10466,11,4,53
54.875,11204,23,11,10574,11,4,53
55.126,11310,23,11,10678,11,4,53
55.377,11419,23,11,10786,11,4,53
55.627,11529,23,11,10896,11,4,53
55.878,11631,23,11,10998,11,4,53
56.129,11745,23,11,11112,11,4,53
56.379,11864,23,11,11231,11,4,53
56.63,11981,23,11,11347,11,4,53
56.881,12102,23,11,11468,11,4,53
57.133,12227,23,11,11593,11,4,53
57.385,12349,23,11,11715,11,4,53
57.636,12467,23,11,11833,11,4,53
57.887,12595,23,11,11961,11,4,53
58.137,12713,23,11,12078,11,4,53
58.389,12833,23,11,12198,11,4,53
58.639,12956,23,11,12321,11,4,53
58.891,13081,23,11,12446,11,4,53
59.143,13206,23,11,12571,11,4,53
59.394,13325,23,11,12690,11,4,53
59.646,13431,23,11,12795,11,4,53
59.897,13539,23,11,12903,11,4,53
