elapsed_s,iters,behaviors,fingerprints,since_new_behavior,corpus_size,solver_invocations,solver_seeds
0.519,26,5,1,18,1,0,0
0.769,122,5,1,106,1,0,0
1.019,218,5,1,201,1,0,0
1.271,316,5,1,296,1,0,0
1.523,416,5,1,395,1,0,0
1.774,518,5,1,494,1,0,0
2.025,622,5,1,597,1,0,0
2.276,727,5,1,702,1,0,0
2.528,829,5,1,800,1,0,0
2.779,931,5,1,899,1,0,0
3.031,1027,5,1,988,1,0,0
3.281,1125,5,1,1085,1,0,0
3.531,1224,5,1,1183,1,0,0
3.782,1324,5,1,1277,1,0,0
4.034,1424,5,1,1372,1,0,0
4.287,1526,5,1,1473,1,0,0
4.539,1627,5,1,1574,1,0,0
4.791,1731,5,1,1678,1,0,0
5.044,1835,5,1,1782,1,0,0
5.294,1930,5,1,1877,1,0,0
5.544,2025,5,1,1972,1,0,0
5.796,2112,5,1,2058,1,0,0
6.047,2206,5,1,2152,1,0,0
6.299,2306,5,1,2252,1,0,0
6.551,2406,5,1,2352,1,0,0
6.803,2505,5,1,2451,1,0,0
7.053,2605,5,1,2549,1,0,0
7.303,2704,5,1,2646,1,0,0
7.554,2807,5,1,2749,1,0,0
7.805,2910,5,1,2852,1,0,0
8.057,3008,5,1,2950,1,0,0
8.308,3110,5,1,3050,1,0,0
8.56,3213,5,1,3152,1,0,0
8.81,3316,5,1,3254,1,0,0
9.062,3415,5,1,3353,1,0,0
9.315,3515,5,1,3453,1,0,0
9.566,3610,5,1,3548,1,0,0
9.818,3707,5,1,3645,1,0,0
10.069,3810,5,1,3747,1,0,0
10.319,3913,5,1,3850,1,0,0
10.569,4019,5,1,3956,1,0,0
10.82,4129,5,1,4066,1,0,0
11.071,4236,5,1,4173,1,0,0
11.321,4340,5,1,4277,1,0,0
11.573,4452,5,1,4388,1,0,0
11.823,4556,5,1,4492,1,0,0
12.074,4662,5,1,4598,1,0,0
12.326,4769,5,1,4705,1,0,0
12.576,4876,5,1,4812,1,0,0
12.827,4988,5,1,4923,1,0,0
13.078,5090,5,1,5025,1,0,0
13.329,5196,5,1,5131,1,0,0
13.58,5310,5,1,5245,1,0,0
13.83,5422,5,1,5357,1,0,0
14.082,5530,5,1,5465,1,0,0
