elapsed_s,iters,behaviors,fingerprints,since_new_behavior,corpus_size,solver_invocations,solver_seeds
0.251,102,5,2,93,2,0,0
0.769,202,5,2,193,2,0,0
1.021,354,5,2,345,2,0,0
1.272,501,5,2,492,2,0,0
1.522,636,5,2,627,2,0,0
1.774,779,5,2,769,2,0,0
2.024,923,5,2,912,2,0,0
2.275,1074,5,2,1063,2,0,0
2.526,1215,5,2,1203,2,0,0
2.776,1342,5,2,1329,2,0,0
3.027,1480,5,2,1465,2,0,0
3.277,1620,5,2,1604,2,0,0
3.528,1759,5,2,1743,2,0,0
3.779,1896,5,2,1880,2,0,0
4.03,2034,5,2,2018,2,0,0
4.28,2173,5,2,2157,2,0,0
4.531,2314,5,2,2298,2,0,0
4.782,2456,5,2,2440,2,0,0
5.032,2591,5,2,2574,2,0,0
5.284,2730,5,2,2713,2,0,0
5.534,2861,5,2,2844,2,0,0
5.785,2996,5,2,2979,2,0,0
6.037,3130,5,2,3113,2,0,0
6.287,3270,5,2,3253,2,0,0
6.537,3405,5,2,3388,2,0,0
6.788,3557,5,2,3539,2,0,0
7.039,3711,5,2,3693,2,0,0
7.29,3867,5,2,3849,2,0,0
7.542,4023,5,2,4005,2,0,0
7.792,4182,5,2,4164,2,0,0
8.043,4336,5,2,4318,2,0,0
8.293,4490,5,2,4471,2,0,0
8.544,4638,5,2,4619,2,0,0
8.795,4791,5,2,4772,2,0,0
9.045,4951,5,2,4932,2,0,0
9.296,5106,5,2,5087,2,0,0
9.547,5263,5,2,5244,2,0,0
9.799,5421,5,2,5402,2,0,0
10.049,5561,5,2,5541,2,0,0
10.299,5710,5,2,5690,2,0,0
10.551,5872,5,2,5852,2,0,0
10.802,6027,5,2,6007,2,0,0
11.053,6181,5,2,6161,2,0,0
11.303,6332,5,2,6312,2,0,0
11.553,6486,5,2,6466,2,0,0
11.804,6647,5,2,6626,2,0,0
12.054,6805,5,2,6784,2,0,0
12.304,6959,5,2,6938,2,0,0
12.555,7114,5,2,7093,2,0,0
12.805,7268,5,2,7247,2,0,0
13.056,7414,5,2,7393,2,0,0
13.308,7570,5,2,7548,2,0,0
13.558,7724,5,2,7702,2,0,0
13.809,7881,5,2,7859,2,0,0
14.06,8038,5,2,8016,2,0,0
14.31,8195,5,2,8173,2,0,0
14.562,8343,5,2,8321,2,0,0
14.814,8481,5,2,8459,2,0,0
15.066,8608,5,2,8585,2,0,0
15.316,8739,5,2,8716,2,0,0
15.567,8875,5,2,8852,2,0,0
15.819,9019,5,2,8996,2,0,0
16.07,9168,5,2,9145,2,0,0
16.322,9314,5,2,9291,2,0,0
16.573,9443,5,2,9420,2,0,0
16.824,9580,5,2,9556,2,0,0
17.074,9732,5,2,9708,2,0,0
17.326,9886,5,2,9861,2,0,0
17.576,10043,5,2,10018,2,0,0
17.826,10201,5,2,10176,2,0,0
18.077,10355,5,2,10330,2,0,0
18.328,10505,5,2,10479,2,0,0
18.579,10663,5,2,10637,2,0,0
18.83,10824,5,2,10798,2,0,0
19.08,10983,5,2,10957,2,0,0
19.331,11121,5,2,11095,2,0,0
19.582,11265,5,2,11239,2,0,0
19.833,11408,5,2,11382,2,0,0
20.083,11564,5,2,11537,2,0,0
20.334,11720,5,2,11693,2,0,0
20.585,11875,9,3,133,3,0,0
20.836,12022,9,3,280,3,0,0
21.087,12167,9,3,425,3,0,0
21.337,12319,9,3,577,3,0,0
21.588,12478,9,3,736,3,0,0
21.839,12625,9,3,882,3,0,0
22.09,12769,9,3,1026,3,0,0
22.341,12913,9,3,1170,3,0,0
22.592,13067,9,3,1324,3,0,0
22.843,13218,9,3,1475,3,0,0
23.093,13366,9,3,1623,3,0,0
23.344,13499,9,3,1755,3,0,0
23.595,13632,9,3,1888,3,0,0
23.846,13768,9,3,2024,3,0,0
24.096,13906,9,3,2162,3,0,0
24.347,14047,9,3,2303,3,0,0
24.598,14192,9,3,2448,3,0,0
24.849,14334,9,3,2590,3,0,0
25.099,14477,9,3,2731,3,0,0
25.35,14616,9,3,2870,3,0,0
25.601,14755,9,3,3009,3,0,0
25.851,14898,9,3,3152,3,0,0
26.102,15041,9,3,3295,3,0,0
26.354,15177,9,3,3431,3,0,0
26.606,15324,9,3,3578,3,0,0
26.856,15468,9,3,3721,3,0,0
27.107,15602,9,3,3855,3,0,0
27.357,15761,9,3,4014,3,0,0
27.607,15920,9,3,4173,3,0,0
27.858,16081,9,3,4334,3,0,0
28.108,16239,9,3,4492,3,0,0
28.359,16396,9,3,4649,3,0,0
28.61,16558,9,3,4810,3,0,0
28.862,16715,9,3,4967,3,0,0
29.112,16881,9,3,5133,3,0,0
29.363,17033,9,3,5285,3,0,0
29.614,17192,9,3,5444,3,0,0
29.865,17345,9,3,5597,3,0,0
30.116,17493,9,3,5744,3,0,0
30.367,17647,9,3,5898,3,0,0
30.618,17796,9,3,6047,3,0,0
30.868,17947,9,3,6198,3,0,0
31.118,18102,9,3,6352,3,0,0
31.368,18260,9,3,6510,3,0,0
31.619,18420,9,3,6670,3,0,0
31.87,18582,9,3,6831,3,0,0
32.12,18746,9,3,6995,3,0,0
32.371,18902,9,3,7151,3,0,0
32.622,19058,9,3,7307,3,0,0
32.872,19222,9,3,7471,3,0,0
33.123,19387,9,3,7636,3,0,0
33.374,19552,9,3,7801,3,0,0
33.625,19719,9,3,7967,3,0,0
33.875,19882,9,3,8130,3,0,0
34.125,20034,9,3,8282,3,0,0
34.376,20182,9,3,8430,3,0,0
34.627,20335,9,3,8583,3,0,0
34.879,20492,9,3,8740,3,0,0
35.13,20630,9,3,8877,3,0,0
35.381,20776,9,3,9023,3,0,0
35.631,20931,9,3,9178,3,0,0
35.883,21089,9,3,9336,3,0,0
36.133,21238,9,3,9485,3,0,0
36.384,21374,9,3,9621,3,0,0
36.634,21519,9,3,9766,3,0,0
36.886,21668,9,3,9914,3,0,0
37.136,21817,9,3,10063,3,0,0
37.386,21978,9,3,10224,3,0,0
37.636,22127,9,3,10373,3,0,0
37.887,22289,9,3,10535,3,0,0
38.138,22440,9,3,10686,3,0,0
38.389,22599,9,3,10845,3,0,0
38.641,22758,9,3,11003,3,0,0
38.892,22916,9,3,11161,3,0,0
39.143,23075,9,3,11320,3,0,0
39.394,23229,9,3,11474,3,0,0
39.645,23389,9,3,11634,3,0,0
39.897,23549,9,3,11794,3,0,0
40.147,23705,9,3,11949,3,0,0
40.399,23860,9,3,12104,3,0,0
40.651,24025,9,3,12269,3,0,0
40.902,24182,9,3,12426,3,0,0
41.152,24340,9,3,12584,3,0,0
41.402,24491,9,3,12735,3,0,0
41.653,24649,9,3,12893,3,0,0
41.903,24802,9,3,13045,3,0,0
42.154,24956,9,3,13199,3,0,0
42.405,25105,9,3,13348,3,0,0
42.655,25255,9,3,13498,3,0,0
42.906,25408,9,3,13651,3,0,0
43.157,25563,9,3,13806,3,0,0
43.407,25719,9,3,13962,3,0,0
43.658,25871,9,3,14113,3,0,0
43.909,26027,9,3,14269,3,0,0
44.159,26173,9,3,14415,3,0,0
44.41,26322,9,3,14564,3,0,0
44.66,26469,9,3,14711,3,0,0
44.911,26608,9,3,14850,3,0,0
45.163,26758,9,3,14999,3,0,0
45.413,26902,9,3,15143,3,0,0
45.663,27049,9,3,15290,3,0,0
45.914,27201,9,3,15442,3,0,0
46.166,27349,9,3,15590,3,0,0
46.417,27491,9,3,15732,3,0,0
46.668,27644,9,3,15885,3,0,0
46.919,27797,9,3,16037,3,0,0
47.171,27947,9,3,16187,3,0,0
47.421,28089,9,3,16329,3,0,0
47.672,28232,9,3,16472,3,0,0
47.923,28384,9,3,16624,3,0,0
48.175,28520,9,3,16760,3,0,0
48.426,28659,9,3,16898,3,0,0
48.677,28800,9,3,17039,3,0,0
48.928,28942,9,3,17181,3,0,0
49.179,29083,9,3,17322,3,0,0
49.429,29215,9,3,17454,3,0,0
49.679,29347,9,3,17586,3,0,0
49.93,29469,9,3,17708,3,0,0
50.182,29603,9,3,17841,3,0,0
50.432,29750,9,3,17988,3,0,0
50.683,29903,9,3,18141,3,0,0
50.934,30059,9,3,18297,3,0,0
51.185,30215,9,3,18453,3,0,0
51.435,30357,9,3,18595,3,0,0
51.686,30509,9,3,18747,3,0,0
51.937,30663,9,3,18900,3,0,0
52.188,30819,9,3,19056,3,0,0
52.44,30977,9,3,19214,3,0,0
52.691,31126,9,3,19363,3,0,0
52.942,31282,9,3,19519,3,0,0
53.193,31438,9,3,19675,3,0,0
53.444,31592,9,3,19828,3,0,0
53.695,31744,9,3,19980,3,0,0
53.946,31896,9,3,20132,3,0,0
54.197,32051,9,3,20287,3,0,0
54.448,32205,9,3,20441,3,0,0
54.699,32360,9,3,20596,3,0,0
54.949,32515,9,3,20751,3,0,0
55.201,32669,9,3,20904,3,0,0
55.451,32817,9,3,21052,3,0,0
55.702,32965,9,3,21200,3,0,0
55.952,33116,9,3,21351,3,0,0
56.202,33268,9,3,21503,3,0,0
56.453,33398,9,3,21633,3,0,0
56.704,33526,9,3,21761,3,0,0
56.956,33668,9,3,21902,3,0,0
57.208,33798,9,3,22032,3,0,0
57.459,33927,9,3,22161,3,0,0
57.71,34056,9,3,22290,3,0,0
57.962,34185,9,3,22419,3,0,0
58.213,34306,9,3,22540,3,0,0
58.463,34432,9,3,22665,3,0,0
58.715,34566,9,3,22799,3,0,0
58.965,34700,9,3,22933,3,0,0
59.217,34842,9,3,23075,3,0,0
59.468,34975,9,3,23208,3,0,0
59.719,35101,9,3,23334,3,0,0
59.97,35239,9,3,23472,3,0,0
