elapsed_s,iters,behaviors,fingerprints,since_new_behavior,corpus_size,solver_invocations,solver_seeds
0.26,2,4,1,0,1,0,0
0.511,136,5,2,129,2,0,0
0.761,270,5,2,263,2,0,0
1.012,406,5,2,399,2,0,0
9.208,508,5,2,500,2,1,6
9.459,641,19,6,124,6,1,6
9.71,793,19,6,276,6,1,6
9.961,920,19,6,403,6,1,6
10.212,1044,19,6,526,6,1,6
10.462,1168,19,6,650,6,1,6
10.712,1290,19,6,772,6,1,6
10.964,1414,19,6,896,6,1,6
11.214,1529,19,6,1011,6,1,6
11.466,1665,19,6,1147,6,1,6
11.716,1790,19,6,1272,6,1,6
11.966,1916,19,6,1397,6,1,6
12.217,2048,19,6,1529,6,1,6
12.47,2182,19,6,1663,6,1,6
12.721,2312,19,6,1793,6,1,6
12.972,2447,19,6,1928,6,1,6
13.222,2577,19,6,2058,6,1,6
13.473,2705,19,6,2186,6,1,6
13.724,2838,19,6,2318,6,1,6
13.975,2969,19,6,2449,6,1,6
14.225,3103,19,6,2583,6,1,6
14.476,3240,19,6,2720,6,1,6
14.728,3378,19,6,2858,6,1,6
14.978,3530,19,6,3010,6,1,6
15.229,3683,19,6,3163,6,1,6
15.48,3837,19,6,3316,6,1,6
15.73,3983,19,6,3462,6,1,6
15.981,4136,19,6,3615,6,1,6
24.21,4269,19,6,3748,6,2,8
24.462,4400,19,6,3879,6,2,8
24.712,4529,19,6,4008,6,2,8
24.963,4649,19,6,4127,6,2,8
25.214,4767,19,6,4245,6,2,8
25.466,4892,19,6,4370,6,2,8
25.717,5015,19,6,4493,6,2,8
25.968,5137,19,6,4615,6,2,8
26.22,5264,19,6,4741,6,2,8
26.472,5395,19,6,4872,6,2,8
26.723,5521,19,6,4997,6,2,8
26.973,5658,19,6,5133,6,2,8
27.225,5798,19,6,5273,6,2,8
27.477,5926,19,6,5401,6,2,8
27.727,6055,19,6,5530,6,2,8
27.978,6192,19,6,5667,6,2,8
28.23,6325,19,6,5800,6,2,8
28.481,6465,19,6,5940,6,2,8
28.732,6591,19,6,6065,6,2,8
28.983,6716,19,6,6190,6,2,8
29.233,6845,19,6,6319,6,2,8
29.483,6969,19,6,6443,6,2,8
29.734,7111,19,6,6585,6,2,8
29.985,7235,19,6,6709,6,2,8
30.237,7360,19,6,6834,6,2,8
30.489,7483,19,6,6956,6,2,8
30.74,7612,19,6,7085,6,2,8
30.991,7750,19,6,7223,6,2,8
39.209,7856,19,6,7328,6,3,11
39.459,8008,19,6,7480,6,3,11
39.711,8156,19,6,7628,6,3,11
39.963,8288,19,6,7760,6,3,11
40.215,8417,19,6,7888,6,3,11
40.465,8545,19,6,8016,6,3,11
40.716,8675,19,6,8146,6,3,11
40.966,8812,19,6,8283,6,3,11
41.217,8965,19,6,8436,6,3,11
41.468,9106,19,6,8577,6,3,11
41.719,9246,19,6,8717,6,3,11
41.97,9385,19,6,8855,6,3,11
42.221,9514,19,6,8984,6,3,11
42.472,9659,19,6,9128,6,3,11
42.723,9802,19,6,9271,6,3,11
42.973,9946,19,6,9415,6,3,11
43.223,10098,19,6,9567,6,3,11
43.474,10250,19,6,9718,6,3,11
43.726,10392,19,6,9860,6,3,11
43.978,10548,19,6,10016,6,3,11
44.228,10702,19,6,10170,6,3,11
44.479,10858,19,6,10326,6,3,11
44.731,11011,19,6,10479,6,3,11
44.981,11151,19,6,10619,6,3,11
45.231,11300,19,6,10767,6,3,11
45.483,11451,19,6,10918,6,3,11
45.734,11602,19,6,11069,6,3,11
45.985,11756,19,6,11223,6,3,11
54.21,11881,19,6,11348,6,4,14
54.461,12016,19,6,11483,6,4,14
54.712,12149,19,6,11616,6,4,14
54.963,12282,19,6,11748,6,4,14
55.214,12424,19,6,11890,6,4,14
55.466,12550,19,6,12016,6,4,14
55.716,12684,19,6,12150,6,4,14
55.967,12821,19,6,12287,6,4,14
56.218,12952,19,6,12418,6,4,14
56.469,13088,19,6,12554,6,4,14
56.719,13222,19,6,12687,6,4,14
56.971,13374,19,6,12839,6,4,14
57.221,13510,19,6,12975,6,4,14
57.473,13659,19,6,13124,6,4,14
57.724,13810,19,6,13275,6,4,14
57.975,13968,19,6,13433,6,4,14
58.226,14121,19,6,13585,6,4,14
58.477,14280,19,6,13744,6,4,14
58.728,14429,19,6,13893,6,4,14
58.979,14577,19,6,14041,6,4,14
59.23,14730,19,6,14194,6,4,14
59.481,14889,19,6,14353,6,4,14
59.731,15046,19,6,14510,6,4,14
59.982,15193,19,6,14656,6,4,14
